action,usage_count,repo_count
actions/checkout,55,12
actions/setup-python,9,4
tj-actions/changed-files,2,1
actions/upload-artifact,11,4
ruby/setup-ruby,1,1
actions/download-artifact,6,3
actions/github-script,15,5
eps1lon/actions-label-merge-conflict,1,1
actions/setup-node,24,6
actions-ecosystem/action-add-labels,1,1
actions-ecosystem/action-remove-labels,1,1
actions/stale,3,3
pnpm/action-setup,12,3
supercharge/mongodb-github-action,1,1
freecodecamp/crowdin-action,3,1
crowdin/github-action,3,1
actions/labeler,1,1
docker/setup-buildx-action,1,1
docker/login-action,1,1
docker/build-push-action,1,1
actions/cache,11,2
digitalocean/action-doctl,2,1
raisedadead/action-docr-cleanup,1,1
tailscale/github-action,2,1
peter-evans/close-issue,1,1
micalevisk/last-issue-action,1,1
peter-evans/create-issue-from-file,1,1
lycheeverse/lychee-action,1,1
webfactory/ssh-agent,1,1
appleboy/ssh-action,1,1
peter-evans/create-pull-request,4,2
anthropics/claude-code-action,1,1
astral-sh/setup-uv,4,1
actions/deploy-pages,1,1
actions/upload-pages-artifact,1,1
actions/configure-pages,1,1
devcontainers/ci,1,1
yyx990803/release-tag,1,1
actions-cool/issues-helper,1,1
codecov/codecov-action,1,1
zofrex/mirror-branch,1,1
trilom/file-changes-action,1,1
ossf/scorecard-action,1,1
citation-file-format/cffconvert-github-action,1,1
actions/attest-build-provenance,1,1
actions/setup-java,1,1
tsickert/discord-webhook,6,1
