source,target,type
sindresorhus/awesome,actions/checkout,uses
public-apis/public-apis,actions/setup-python,uses
public-apis/public-apis,actions/checkout,uses
EbookFoundation/free-programming-books,eps1lon/actions-label-merge-conflict,uses
EbookFoundation/free-programming-books,actions/github-script,uses
EbookFoundation/free-programming-books,actions/stale,uses
EbookFoundation/free-programming-books,actions-ecosystem/action-add-labels,uses
EbookFoundation/free-programming-books,actions/setup-node,uses
EbookFoundation/free-programming-books,ruby/setup-ruby,uses
EbookFoundation/free-programming-books,actions-ecosystem/action-remove-labels,uses
EbookFoundation/free-programming-books,tj-actions/changed-files,uses
EbookFoundation/free-programming-books,actions/download-artifact,uses
EbookFoundation/free-programming-books,actions/setup-python,uses
EbookFoundation/free-programming-books,actions/checkout,uses
EbookFoundation/free-programming-books,actions/upload-artifact,uses
freeCodeCamp/freeCodeCamp,actions/github-script,uses
freeCodeCamp/freeCodeCamp,digitalocean/action-doctl,uses
freeCodeCamp/freeCodeCamp,tailscale/github-action,uses
freeCodeCamp/freeCodeCamp,docker/login-action,uses
freeCodeCamp/freeCodeCamp,crowdin/github-action,uses
freeCodeCamp/freeCodeCamp,raisedadead/action-docr-cleanup,uses
freeCodeCamp/freeCodeCamp,freecodecamp/crowdin-action,uses
freeCodeCamp/freeCodeCamp,actions/labeler,uses
freeCodeCamp/freeCodeCamp,pnpm/action-setup,uses
freeCodeCamp/freeCodeCamp,actions/upload-artifact,uses
freeCodeCamp/freeCodeCamp,docker/build-push-action,uses
freeCodeCamp/freeCodeCamp,actions/download-artifact,uses
freeCodeCamp/freeCodeCamp,docker/setup-buildx-action,uses
freeCodeCamp/freeCodeCamp,supercharge/mongodb-github-action,uses
freeCodeCamp/freeCodeCamp,actions/cache,uses
freeCodeCamp/freeCodeCamp,actions/checkout,uses
freeCodeCamp/freeCodeCamp,actions/setup-node,uses
jwasham/coding-interview-university,peter-evans/close-issue,uses
jwasham/coding-interview-university,peter-evans/create-issue-from-file,uses
jwasham/coding-interview-university,micalevisk/last-issue-action,uses
jwasham/coding-interview-university,lycheeverse/lychee-action,uses
jwasham/coding-interview-university,actions/checkout,uses
kamranahmedse/developer-roadmap,appleboy/ssh-action,uses
kamranahmedse/developer-roadmap,webfactory/ssh-agent,uses
kamranahmedse/developer-roadmap,actions/github-script,uses
kamranahmedse/developer-roadmap,peter-evans/create-pull-request,uses
kamranahmedse/developer-roadmap,pnpm/action-setup,uses
kamranahmedse/developer-roadmap,actions/checkout,uses
kamranahmedse/developer-roadmap,actions/setup-node,uses
vinta/awesome-python,actions/checkout,uses
vinta/awesome-python,anthropics/claude-code-action,uses
TheAlgorithms/Python,actions/upload-pages-artifact,uses
TheAlgorithms/Python,astral-sh/setup-uv,uses
TheAlgorithms/Python,devcontainers/ci,uses
TheAlgorithms/Python,actions/configure-pages,uses
TheAlgorithms/Python,actions/deploy-pages,uses
TheAlgorithms/Python,actions/setup-python,uses
TheAlgorithms/Python,actions/checkout,uses
vuejs/vue,yyx990803/release-tag,uses
vuejs/vue,actions/checkout,uses
vuejs/vue,actions/setup-node,uses
vuejs/vue,pnpm/action-setup,uses
ossu/computer-science,actions-cool/issues-helper,uses
trekhleb/javascript-algorithms,actions/checkout,uses
trekhleb/javascript-algorithms,actions/setup-node,uses
trekhleb/javascript-algorithms,codecov/codecov-action,uses
tensorflow/tensorflow,citation-file-format/cffconvert-github-action,uses
tensorflow/tensorflow,actions/github-script,uses
tensorflow/tensorflow,peter-evans/create-pull-request,uses
tensorflow/tensorflow,ossf/scorecard-action,uses
tensorflow/tensorflow,actions/stale,uses
tensorflow/tensorflow,zofrex/mirror-branch,uses
tensorflow/tensorflow,actions/setup-python,uses
tensorflow/tensorflow,trilom/file-changes-action,uses
tensorflow/tensorflow,actions/checkout,uses
tensorflow/tensorflow,actions/upload-artifact,uses
facebook/react,actions/github-script,uses
facebook/react,actions/stale,uses
facebook/react,actions/setup-java,uses
facebook/react,tsickert/discord-webhook,uses
facebook/react,actions/upload-artifact,uses
facebook/react,actions/download-artifact,uses
facebook/react,actions/attest-build-provenance,uses
facebook/react,actions/cache,uses
facebook/react,actions/checkout,uses
facebook/react,actions/setup-node,uses
